sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,447,Flushing,Flushing - Main St,Q,7,40.7596,-73.83003,B933AD,36081085300,0.553,36081087100,0.447,40103
2,448,Flushing,Mets Willets Point,Q,7,40.754622,-73.845625,B933AD,36081039900,0.686,36081038100,0.314,51297
3,449,Flushing,111 St,Q,7,40.75173,-73.855334,B933AD,36081039900,0.506,36081040100,0.494,52257
4,450,Flushing,103 St - Corona Plaza,Q,7,40.749865,-73.8627,B933AD,36081040500,0.958,36081040700,0.042,48003
5,451,Flushing,Junction Blvd,Q,7,40.749145,-73.869527,B933AD,36081037500,0.581,36081040900,0.419,51081
6,452,Flushing,90 St - Elmhurst Av,Q,7,40.748408,-73.876613,B933AD,36081046900,0.555,36081046700,0.445,38518
7,453,Flushing,82 St - Jackson Hts,Q,7,40.747659,-73.883697,B933AD,36081026901,0.832,36081026902,0.168,49236
8,454,Flushing,74 St - Broadway,Q,7,40.746848,-73.891394,B933AD,36081026500,0.717,36081028900,0.283,58099
9,455,Flushing,69 St,Q,7,40.746325,-73.896403,B933AD,36081026300,0.978,36081026500,0.022,55145
10,456,Flushing,Woodside - 61 St,Q,7,40.74563,-73.902984,B933AD,36081024900,0.59,36081026100,0.41,52059
11,457,Flushing,52 St,Q,7,40.744149,-73.912549,B933AD,36081025302,0.968,36081025100,0.032,64396
12,458,Flushing,46 St,Q,7,40.743132,-73.918435,B933AD,36081025301,0.591,36081018300,0.409,65220
13,459,Flushing,40 St,Q,7,40.743781,-73.924016,B933AD,36081018101,0.8,36081018102,0.2,55304
14,460,Flushing,33 St,Q,7,40.744587,-73.930997,B933AD,36081017900,0.998,36081018900,0.002,43789
15,461,Astoria,Queensboro Plaza,Q,N W 7,40.750582,-73.940202,B933AD,36081001900,0.611,36081003300,0.389,104463
16,462,Flushing,Court Sq,Q,7,40.747023,-73.945264,B933AD,36081001900,0.854,36081000700,0.146,129855
17,463,Flushing,Hunters - Point Av,Q,7,40.742216,-73.948916,B933AD,36081000700,0.81,36047057900,0.19,110859
18,464,Flushing,Vernon Blvd - Jackson Av,Q,7,40.742626,-73.953581,B933AD,36081000700,0.807,36081000100,0.193,126261
19,465,Flushing,Grand Central - 42 St,M,7,40.751431,-73.976041,B933AD,36061009200,0.58,36061008000,0.42,121101
20,466,Flushing,5 Av,M,7,40.753821,-73.981963,B933AD,36061009600,0.509,36061008400,0.491,129795
21,467,Flushing,Times Sq - 42 St,M,7,40.755477,-73.987691,B933AD,36061011300,0.921,36061011900,0.079,102598
22,471,Flushing,34 St - 11 Av,M,7,40.755882,-74.00191,B933AD,36061011700,0.612,36061009900,0.388,125692
