sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,293,Broadway - 7Av,Van Cortlandt Park - 242 St,Bx,1,40.889248,-73.898583,EE352E,36005028500,0.567,36005035100,0.433,67367
2,294,Broadway - 7Av,238 St,Bx,1,40.884667,-73.90087,EE352E,36005028500,0.71,36005027900,0.29,59613
3,295,Broadway - 7Av,231 St,Bx,1,40.878856,-73.904834,EE352E,36005028300,0.671,36005028900,0.329,33520
4,296,Broadway - 7Av,Marble Hill - 225 St,M,1,40.874561,-73.909831,EE352E,36061030900,0.931,36005028900,0.069,32914
5,297,Broadway - 7Av,215 St,M,1,40.869444,-73.915279,EE352E,36061030700,0.714,36061030300,0.286,72459
6,298,Broadway - 7Av,207 St,M,1,40.864621,-73.918822,EE352E,36061029300,0.918,36061030300,0.082,39481
7,299,Broadway - 7Av,Dyckman St,M,1,40.860531,-73.925536,EE352E,36061028500,0.725,36061028300,0.275,46496
8,300,Broadway - 7Av,191 St,M,1,40.855225,-73.929412,EE352E,36061027700,0.576,36061027900,0.424,37108
9,301,Broadway - 7Av,181 St,M,1,40.849505,-73.933596,EE352E,36061027100,0.599,36061026900,0.401,49535
10,302,Broadway - 7Av,168 St - Washington Hts,M,1,40.840556,-73.940133,EE352E,36061025100,0.981,36061025300,0.019,32403
11,303,Broadway - 7Av,157 St,M,1,40.834041,-73.94489,EE352E,36061024100,0.904,36061023700,0.096,51507
12,304,Broadway - 7Av,145 St,M,1,40.826551,-73.95036,EE352E,36061022900,0.783,36061023300,0.217,47811
13,305,Broadway - 7Av,137 St - City College,M,1,40.822008,-73.953676,EE352E,36061022301,0.827,36061022500,0.173,43774
14,306,Broadway - 7Av,125 St,M,1,40.815581,-73.958372,EE352E,36061021900,0.636,36061021100,0.364,30307
15,307,Broadway - 7Av,116 St - Columbia University,M,1,40.807722,-73.96411,EE352E,36061020300,0.549,36061020500,0.451,73645
16,308,Broadway - 7Av,Cathedral Pkwy,M,1,40.803967,-73.966847,EE352E,36061019500,0.563,36061019900,0.437,100801
17,309,Broadway - 7Av,103 St,M,1,40.799446,-73.968379,EE352E,36061019100,0.78,36061019500,0.22,104852
18,310,Broadway - 7Av,96 St,M,1 2 3,40.793919,-73.972323,EE352E,36061018300,0.705,36061017900,0.295,107264
19,311,Broadway - 7Av,86 St,M,1,40.788644,-73.976218,EE352E,36061017500,0.62,36061017100,0.38,147606
20,312,Broadway - 7Av,79 St,M,1,40.783934,-73.979917,EE352E,36061016700,0.885,36061016300,0.115,160399
21,313,Broadway - 7Av,72 St,M,1 2 3,40.778453,-73.98197,EE352E,36061015900,0.625,36061015700,0.375,122581
22,314,Broadway - 7Av,66 St - Lincoln Center,M,1,40.77344,-73.982209,EE352E,36061014900,0.772,36061015300,0.228,155722
23,315,Broadway - 7Av,59 St - Columbus Circle,M,1,40.768247,-73.981929,EE352E,36061014500,0.593,36061013700,0.407,154961
24,316,Broadway - 7Av,50 St,M,1,40.761728,-73.983849,EE352E,36061013100,0.583,36061012500,0.417,120472
25,317,Broadway - 7Av,Times Sq - 42 St,M,1 2 3,40.75529,-73.987495,EE352E,36061011300,0.938,36061011900,0.062,104235
26,318,Broadway - 7Av,34 St - Penn Station,M,1 2 3,40.750373,-73.991057,EE352E,36061010100,0.893,36061010900,0.107,149645
27,319,Broadway - 7Av,28 St,M,1,40.747215,-73.993365,EE352E,36061009500,1.0,36061009100,0.0,141969
28,320,Broadway - 7Av,23 St,M,1,40.744081,-73.995657,EE352E,36061009100,0.893,36061008700,0.107,120565
29,321,Broadway - 7Av,18 St,M,1,40.74104,-73.997871,EE352E,36061008700,0.513,36061008100,0.487,139844
30,322,Broadway - 7Av,14 St,M,1 2 3,40.737826,-74.000201,EE352E,36061008100,0.521,36061007700,0.479,130941
31,323,Broadway - 7Av,Christopher St - Sheridan Sq,M,1,40.733422,-74.002906,EE352E,36061007300,0.874,36061006700,0.126,105661
32,324,Broadway - 7Av,Houston St,M,1,40.728251,-74.005367,EE352E,36061006700,0.589,36061003700,0.411,119411
33,325,Broadway - 7Av,Canal St,M,1,40.722854,-74.006277,EE352E,36061003700,0.562,36061004700,0.438,137706
34,326,Broadway - 7Av,Franklin St,M,1,40.719318,-74.006886,EE352E,36061003300,0.908,36061003900,0.092,190445
35,327,Broadway - 7Av,Chambers St,M,1 2 3,40.715478,-74.009266,EE352E,36061002100,0.944,36061003300,0.056,246843
36,328,Broadway - 7Av,Cortlandt St,M,1,40.711835,-74.012188,EE352E,36061001300,0.583,36061002100,0.417,185449
37,329,Broadway - 7Av,Rector St,M,1,40.707513,-74.013783,EE352E,36061001300,0.784,36061031704,0.216,144203
38,330,Broadway - 7Av,South Ferry,M,1,40.702068,-74.013664,EE352E,36061001300,0.504,36061031704,0.496,150563
