sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,139,Franklin Shuttle,Franklin Av,Bk,S,40.680596,-73.955827,808183,36047022700,0.85,36047022100,0.15,72623
2,141,Franklin Shuttle,Park Pl,Bk,S,40.674772,-73.957624,808183,36047021700,0.601,36047030500,0.399,64175
3,142,Franklin Shuttle,Botanic Garden,Bk,S,40.670343,-73.959245,808183,36047021700,0.629,36047021300,0.371,53637
4,468,Lexington - Shuttle,Times Sq - 42 St,M,S,40.755983,-73.986229,808183,36061011900,0.698,36061011300,0.302,44663
5,469,Lexington - Shuttle,Grand Central - 42 St,M,S,40.752769,-73.979189,808183,36061008200,0.66,36061008000,0.34,127481
