sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,378,Jerome Av,Woodlawn,Bx,4,40.886037,-73.878751,00933C,36005043100,0.807,36005042100,0.193,30032
2,379,Jerome Av,Mosholu Pkwy,Bx,4,40.87975,-73.884655,00933C,36005042100,0.754,36005041900,0.246,32409
3,380,Jerome Av,Bedford Park Blvd - Lehman College,Bx,4,40.873412,-73.890064,00933C,36005040701,0.817,36005041100,0.183,35949
4,381,Jerome Av,Kingsbridge Rd,Bx,4,40.86776,-73.897174,00933C,36005040304,0.732,36005040100,0.268,25020
5,382,Jerome Av,Fordham Rd,Bx,4,40.862803,-73.901034,00933C,36005023703,0.525,36005026500,0.475,33642
6,383,Jerome Av,183 St,Bx,4,40.858407,-73.903879,00933C,36005023900,0.865,36005025300,0.135,22267
7,384,Jerome Av,Burnside Av,Bx,4,40.853453,-73.907684,00933C,36005024100,0.791,36005025100,0.209,30242
8,385,Jerome Av,176 St,Bx,4,40.84848,-73.911794,00933C,36005021700,0.709,36005022701,0.291,28856
9,386,Jerome Av,Mt Eden Av,Bx,4,40.844434,-73.914685,00933C,36005020900,0.612,36005022702,0.388,29735
10,387,Jerome Av,170 St,Bx,4,40.840075,-73.917791,00933C,36005022101,0.537,36005021900,0.463,25174
11,388,Jerome Av,167 St,Bx,4,40.835537,-73.9214,00933C,36005019700,0.88,36005019900,0.12,26287
12,389,Jerome Av,161 St - Yankee Stadium,Bx,4,40.827994,-73.925831,00933C,36005006300,0.504,36005019500,0.496,29454
13,390,Jerome Av,149 St - Grand Concourse,Bx,4,40.818375,-73.927351,00933C,36005006500,0.561,36005005100,0.439,22412
14,391,Jerome Av,138 St - Grand Concourse,Bx,4 5,40.813224,-73.929849,00933C,36005005100,0.889,36061021000,0.111,19501
15,392,Lexington Av,125 St,M,4 5 6,40.804138,-73.937594,00933C,36061019600,0.757,36061024200,0.243,19063
16,397,Lexington Av,86 St,M,4 5 6,40.779492,-73.955589,00933C,36061014801,0.86,36061014802,0.14,150093
17,400,Lexington Av,59 St,M,4 5 6,40.762526,-73.967967,00933C,36061011402,0.651,36061011203,0.349,144416
18,402,Lexington Av,Grand Central - 42 St,M,4 5 6,40.751776,-73.976848,00933C,36061009200,0.527,36061008000,0.473,120923
19,406,Lexington Av,14 St - Union Sq,M,4 5 6,40.734673,-73.989951,00933C,36061006100,0.525,36061005200,0.475,157795
20,411,Lexington Av,Brooklyn Bridge - City Hall,M,4 5 6,40.713065,-74.004131,00933C,36061003100,0.685,36061002900,0.315,147804
21,412,Lexington Av,Fulton St,M,4 5,40.710368,-74.009509,00933C,36061001300,0.549,36061002100,0.451,189224
22,413,Lexington Av,Wall St,M,4 5,40.707557,-74.011862,00933C,36061001300,0.896,36061031704,0.104,141658
23,414,Lexington Av,Bowling Green,M,4 5,40.704817,-74.014065,00933C,36061001300,0.522,36061031704,0.478,150158
24,415,Lexington Av,Borough Hall,Bk,4 5,40.692404,-73.990151,00933C,36047000900,0.732,36047001100,0.268,151919
25,337,Eastern Pky,Nevins St,Bk,2 3 4 5,40.688246,-73.980492,00933C,36047003300,0.553,36047003900,0.447,113941
26,342,Eastern Pky,Franklin Av,Bk,2 3 4 5,40.670682,-73.958131,00933C,36047021700,0.666,36047021900,0.334,61022
27,345,Eastern Pky,Crown Hts - Utica Av,Bk,3 4,40.668897,-73.932942,00933C,36047035100,0.919,36047035300,0.081,33962
