sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,442,Dyre Av,Eastchester - Dyre Av,Bx,5,40.8883,-73.830834,00933C,36005048400,0.836,36005045600,0.164,75349
2,443,Dyre Av,Baychester Av,Bx,5,40.878663,-73.838591,00933C,36005046202,0.918,36005046000,0.082,37225
3,444,Dyre Av,Gun Hill Rd,Bx,5,40.869526,-73.846384,00933C,36005035000,0.659,36005036000,0.341,59377
4,445,Dyre Av,Pelham Pkwy,Bx,5,40.858985,-73.855359,00933C,36005032600,0.76,36005031800,0.24,62699
5,446,Dyre Av,Morris Park,Bx,5,40.854364,-73.860495,00933C,36005024600,0.679,36005024800,0.321,61506
6,426,Lenox - White Plains Rd,E 180 St,Bx,2 5,40.841894,-73.873488,00933C,36005022000,0.552,36005024000,0.448,30991
7,427,Lenox - White Plains Rd,West Farms Sq - E Tremont Av,Bx,2 5,40.840295,-73.880049,00933C,36005036100,0.611,36005035900,0.389,23681
8,428,Lenox - White Plains Rd,174 St,Bx,2 5,40.837288,-73.887734,00933C,36005016100,0.583,36005015500,0.417,16022
9,429,Lenox - White Plains Rd,Freeman St,Bx,2 5,40.829993,-73.891865,00933C,36005012500,0.74,36005012101,0.26,30671
10,430,Lenox - White Plains Rd,Simpson St,Bx,2 5,40.824073,-73.893064,00933C,36005015900,0.584,36005012701,0.416,19133
11,431,Lenox - White Plains Rd,Intervale Av,Bx,2 5,40.822181,-73.896736,00933C,36005012901,0.552,36005008700,0.448,24978
12,432,Lenox - White Plains Rd,Prospect Av,Bx,2 5,40.819585,-73.90177,00933C,36005007700,0.731,36005012901,0.269,31483
13,433,Lenox - White Plains Rd,Jackson Av,Bx,2 5,40.81649,-73.907807,00933C,36005007900,0.567,36005007500,0.433,26624
14,434,Lenox - White Plains Rd,3 Av - 149 St,Bx,2 5,40.816109,-73.917757,00933C,36005004300,0.644,36005006700,0.356,22239
15,435,Lenox - White Plains Rd,149 St - Grand Concourse,Bx,2 5,40.81841,-73.926718,00933C,36005006500,0.642,36005005100,0.358,22988
16,391,Jerome Av,138 St - Grand Concourse,Bx,4 5,40.813224,-73.929849,00933C,36005005100,0.889,36061021000,0.111,19501
17,392,Lexington Av,125 St,M,4 5 6,40.804138,-73.937594,00933C,36061019600,0.757,36061024200,0.243,19063
18,397,Lexington Av,86 St,M,4 5 6,40.779492,-73.955589,00933C,36061014801,0.86,36061014802,0.14,150093
19,400,Lexington Av,59 St,M,4 5 6,40.762526,-73.967967,00933C,36061011402,0.651,36061011203,0.349,144416
20,402,Lexington Av,Grand Central - 42 St,M,4 5 6,40.751776,-73.976848,00933C,36061009200,0.527,36061008000,0.473,120923
21,406,Lexington Av,14 St - Union Sq,M,4 5 6,40.734673,-73.989951,00933C,36061006100,0.525,36061005200,0.475,157795
22,411,Lexington Av,Brooklyn Bridge - City Hall,M,4 5 6,40.713065,-74.004131,00933C,36061003100,0.685,36061002900,0.315,147804
23,412,Lexington Av,Fulton St,M,4 5,40.710368,-74.009509,00933C,36061001300,0.549,36061002100,0.451,189224
24,413,Lexington Av,Wall St,M,4 5,40.707557,-74.011862,00933C,36061001300,0.896,36061031704,0.104,141658
25,414,Lexington Av,Bowling Green,M,4 5,40.704817,-74.014065,00933C,36061001300,0.522,36061031704,0.478,150158
26,415,Lexington Av,Borough Hall,Bk,4 5,40.692404,-73.990151,00933C,36047000900,0.732,36047001100,0.268,151919
27,337,Eastern Pky,Nevins St,Bk,2 3 4 5,40.688246,-73.980492,00933C,36047003300,0.553,36047003900,0.447,113941
28,342,Eastern Pky,Franklin Av,Bk,2 3 4 5,40.670682,-73.958131,00933C,36047021700,0.666,36047021900,0.334,61022
29,353,Nostrand,President St,Bk,2 5,40.667883,-73.950683,00933C,36047031900,0.547,36047032100,0.453,49414
30,354,Nostrand,Sterling St,Bk,2 5,40.662742,-73.95085,00933C,36047032900,0.652,36047080000,0.348,52864
31,355,Nostrand,Winthrop St,Bk,2 5,40.656652,-73.9502,00933C,36047080400,0.602,36047080200,0.398,43624
32,356,Nostrand,Church Av,Bk,2 5,40.650843,-73.949575,00933C,36047082400,0.682,36047082000,0.318,41262
33,357,Nostrand,Beverly Rd,Bk,2 5,40.645098,-73.948959,00933C,36047082600,1.0,36047082400,0.0,44697
34,358,Nostrand,Newkirk Av,Bk,2 5,40.639967,-73.948411,00933C,36047082800,0.789,36047078800,0.211,47074
35,359,Nostrand,Flatbush Av - Brooklyn College,Bk,2 5,40.632836,-73.947642,00933C,36047077400,0.582,36047078600,0.418,58775
