sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,360,Pelham,Pelham Bay Park,Bx,6,40.852462,-73.828121,00933C,36005030000,0.779,36005026602,0.221,52049
2,361,Pelham,Buhre Av,Bx,6,40.84681,-73.832569,00933C,36005026601,0.668,36005026602,0.332,52673
3,362,Pelham,Middletown Rd,Bx,6,40.843863,-73.836322,00933C,36005026601,0.714,36005026400,0.286,56070
4,363,Pelham,Westchester Sq - E Tremont Av,Bx,6,40.839892,-73.842952,00933C,36005020200,0.508,36005020000,0.492,36373
5,364,Pelham,Zerega Av,Bx,6,40.836488,-73.847036,00933C,36005020200,0.733,36005009600,0.267,35005
6,365,Pelham,Castle Hill Av,Bx,6,40.834255,-73.851222,00933C,36005009200,0.599,36005020601,0.401,46976
7,366,Pelham,Parkchester,Bx,6,40.833226,-73.860816,00933C,36005007200,0.674,36005021200,0.326,43923
8,367,Pelham,St Lawrence Av,Bx,6,40.831509,-73.867618,00933C,36005007600,0.616,36005007000,0.384,34224
9,368,Pelham,Morrison Av- Sound View,Bx,6,40.829521,-73.874516,00933C,36005004800,0.615,36005006200,0.385,29517
10,369,Pelham,Elder Av,Bx,6,40.828584,-73.879159,00933C,36005005002,0.707,36005005400,0.293,28601
11,370,Pelham,Whitlock Av,Bx,6,40.826525,-73.886283,00933C,36005012102,0.682,36005012300,0.318,21524
12,371,Pelham,Hunts Point Av,Bx,6,40.820948,-73.890549,00933C,36005011900,0.776,36005015900,0.224,23614
13,372,Pelham,Longwood Av,Bx,6,40.816104,-73.896435,00933C,36005008500,0.688,36005008900,0.312,29001
14,373,Pelham,E 149 St,Bx,6,40.812118,-73.904098,00933C,36005008300,0.527,36005003100,0.473,34333
15,374,Pelham,E 143 St - St Mary's St,Bx,6,40.808719,-73.907657,00933C,36005003100,0.507,36005003500,0.493,37069
16,375,Pelham,Cypress Av,Bx,6,40.805368,-73.914042,00933C,36005002702,0.806,36005002701,0.194,14024
17,376,Pelham,Brook Av,Bx,6,40.807566,-73.91924,00933C,36005002500,0.716,36005003900,0.284,24929
18,377,Pelham,3 Av - 138 St,Bx,6,40.810476,-73.926138,00933C,36005002300,0.825,36005005100,0.175,17601
19,392,Lexington Av,125 St,M,4 5 6,40.804138,-73.937594,00933C,36061019600,0.757,36061024200,0.243,19063
20,393,Lexington Av,116 St,M,6,40.798629,-73.941617,00933C,36061018200,0.99,36061018400,0.01,23892
21,394,Lexington Av,110 St,M,6,40.79502,-73.94425,00933C,36061017200,0.845,36061017402,0.155,42914
22,395,Lexington Av,103 St,M,6,40.7906,-73.947478,00933C,36061016600,0.868,36061016800,0.132,38498
23,396,Lexington Av,96 St,M,6,40.785672,-73.95107,00933C,36061015802,0.752,36061015801,0.248,110442
24,397,Lexington Av,86 St,M,4 5 6,40.779492,-73.955589,00933C,36061014801,0.86,36061014802,0.14,150093
25,398,Lexington Av,77 St,M,6,40.77362,-73.959874,00933C,36061012800,0.52,36061014000,0.48,159700
26,399,Lexington Av,68 St - Hunter College,M,6,40.768141,-73.96387,00933C,36061012000,0.877,36061012800,0.123,184551
27,400,Lexington Av,59 St,M,4 5 6,40.762526,-73.967967,00933C,36061011402,0.651,36061011203,0.349,144416
28,401,Lexington Av,51 St,M,6,40.757107,-73.97192,00933C,36061010000,0.893,36061010200,0.107,113182
29,402,Lexington Av,Grand Central - 42 St,M,4 5 6,40.751776,-73.976848,00933C,36061009200,0.527,36061008000,0.473,120923
30,403,Lexington Av,33 St,M,6,40.746081,-73.982076,00933C,36061007200,0.579,36061007400,0.421,119817
31,404,Lexington Av,28 St,M,6,40.74307,-73.984264,00933C,36061006800,0.584,36061007400,0.416,128862
32,405,Lexington Av,23 St,M,6,40.739864,-73.986599,00933C,36061005600,0.627,36061006800,0.373,124227
33,406,Lexington Av,14 St - Union Sq,M,4 5 6,40.734673,-73.989951,00933C,36061006100,0.525,36061005200,0.475,157795
34,407,Lexington Av,Astor Pl,M,6,40.730054,-73.99107,00933C,36061005700,0.533,36061004200,0.467,141619
35,408,Lexington Av,Bleecker St,M,6,40.725915,-73.994659,00933C,36061005502,0.953,36061004300,0.047,124907
36,409,Lexington Av,Spring St,M,6,40.722301,-73.997141,00933C,36061004300,0.706,36061004500,0.294,93477
37,410,Lexington Av,Canal St,M,6,40.718803,-74.000193,00933C,36061004500,0.802,36061004100,0.198,130421
38,411,Lexington Av,Brooklyn Bridge - City Hall,M,4 5 6,40.713065,-74.004131,00933C,36061003100,0.685,36061002900,0.315,147804
